Year,level_1,"Total_food_supply_quantity, kg",Entity,Code,Nutrient nitrogen N (total) used per area of cropland in kg per hectare,Nutrient phosphate P2O5 (total) used per area of cropland in kg per hectare,Nutrient potash K2O (total) used per area of cropland in kg per hectare,Total fertilizer use per area of cropland in kg per hectare,Pesticides used per area of cropland in kg per hectare,Number of deaths from digestive diseases,"Total_food_supply_quality, kcal/capita/day"
1990,1806,743.5600000000001,Lebanon,LBN,36.0699996948242,39.3400001525878,7.86999988555908,83.27999973297108,4.0,567.0,1968
1990,1184,676.44,Greece,GRC,107.76000213623,48.349998474121,19.329999923706,175.440000534057,1.87000000476837,2969.0,1683
1990,2716,632.94,Rwanda,RWA,1.02999997138977,0.870000004768371,0.620000004768371,2.5199999809265123,0.129999995231628,3921.0,1674
1990,1514,595.9300000000001,Israel,ISR,115.080001831054,48.7200012207031,74.25,238.0500030517571,5.78000020980835,912.0,1837
1990,2977,557.59,Spain,ESP,52.7000007629394,26.4799995422363,18.7700004577636,97.9500007629393,1.96000003814697,20287.0,1344
1990,2656,547.61,Portugal,PRT,48.060001373291,25.7000007629394,15.329999923706,89.0900020599364,2.99000000953674,5560.0,1555
1990,3285,529.61,Uganda,UGA,0.0099999997764825,0.0099999997764825,0.0,0.0199999995529651,0.0099999997764825,5074.0,1892
1990,1544,513.35,Italy,ITA,73.4199981689453,53.849998474121,35.1500015258789,162.4199981689452,8.39999961853027,29518.0,1567
1990,861,493.41,Egypt,EGY,281.399993896484,69.5199966430664,11.2200002670288,362.1399908065792,4.98999977111816,44121.0,2447
1990,3253,488.86,Tunisia,TUN,7.76999998092651,9.10999965667724,0.409999996423721,17.289999634027474,0.189999997615814,1213.0,2081
1991,1807,753.5,Lebanon,LBN,40.5200004577636,49.0200004577636,7.51999998092651,97.06000089645372,3.99000000953674,571.0,1957
1991,1185,696.71,Greece,GRC,103.550003051757,44.6800003051757,17.1100006103515,165.34000396728422,1.87999999523162,2997.0,1705
1991,2717,666.48,Rwanda,RWA,0.560000002384185,0.419999986886978,0.349999994039535,1.329999983310698,0.0900000035762786,4086.0,1783
1991,2978,532.76,Spain,ESP,49.7099990844726,24.9699993133544,18.9799995422363,93.6599979400633,1.95000004768371,20350.0,1343
1991,2657,526.6800000000001,Portugal,PRT,45.75,24.6599998474121,13.3000001907348,83.71000003814689,3.03999996185302,5628.0,1568
1991,1545,523.84,Italy,ITA,76.5199966430664,55.8600006103515,35.2700004577636,167.64999771118153,7.5,29522.0,1614
1991,1515,520.96,Israel,ISR,95.3799972534179,46.1899986267089,74.5999984741211,216.16999435424788,5.75,989.0,1773
1991,3286,520.69,Uganda,UGA,0.0700000002980232,0.0399999991059303,0.0599999986588954,0.1699999980628489,0.0099999997764825,5342.0,1828
1991,1155,510.96,Ghana,GHA,1.62000000476837,0.050000000745058,0.189999997615814,1.860000003129242,0.0199999995529651,6208.0,1726
1991,3254,497.04,Tunisia,TUN,10.6099996566772,9.25,0.430000007152557,20.28999966382976,0.189999997615814,1249.0,2113
1992,1808,755.25,Lebanon,LBN,46.4099998474121,51.9599990844726,12.75,111.11999893188472,3.99000000953674,579.0,1968
1992,1186,682.35,Greece,GRC,99.6999969482421,45.1500015258789,14.4600000381469,159.3099985122679,2.0,3052.0,1694
1992,2718,644.06,Rwanda,RWA,0.379999995231628,0.100000001490116,0.100000001490116,0.57999999821186,0.0799999982118606,3859.0,1726
1992,1516,568.26,Israel,ISR,100.459999084472,49.7700004577636,76.1600036621093,226.3900032043449,5.76999998092651,1065.0,1802
1992,1546,548.51,Italy,ITA,78.25,52.7099990844726,34.310001373291,165.27000045776362,7.59000015258789,29078.0,1589
1992,2979,537.1600000000001,Spain,ESP,40.9900016784668,21.2199993133544,16.7399997711181,78.9500007629393,1.60000002384185,20093.0,1343
1992,331,527.95,Belize,BLZ,17.2399997711181,27.5900001525878,21.8400001525878,66.67000007629369,11.4600000381469,38.0,1474
1992,1156,498.51,Ghana,GHA,1.62000000476837,0.46000000834465,0.25,2.33000001311302,0.0199999995529651,6418.0,1708
1992,863,495.6,Egypt,EGY,248.220001220703,34.7099990844726,9.90999984741211,292.8400001525877,2.04999995231628,43425.0,2464
1992,3287,493.28,Uganda,UGA,0.0599999986588954,0.0099999997764825,0.0399999991059303,0.1099999975413082,0.0099999997764825,5479.0,1755
1993,1809,749.47,Lebanon,LBN,58.8199996948242,45.75,13.7299995422363,118.29999923706048,3.99000000953674,585.0,1953
1993,1187,689.7,Greece,GRC,83.6699981689453,32.1399993896484,14.0299997329711,129.8399972915648,2.25,3019.0,1704
1993,2719,642.78,Rwanda,RWA,0.349999994039535,0.879999995231628,0.0,1.229999989271163,0.109999999403953,3336.0,1727
1993,1517,569.71,Israel,ISR,101.849998474121,50.9300003051757,74.0699996948242,226.84999847412087,5.76999998092651,1105.0,1773
1993,1157,538.27,Ghana,GHA,1.17999994754791,0.310000002384185,0.230000004172325,1.7199999541044195,0.0199999995529651,6617.0,1887
1993,2659,519.99,Portugal,PRT,43.0400009155273,24.3600006103515,16.0200004577636,83.4200019836424,3.0,5571.0,1559
1993,1547,506.14,Italy,ITA,80.6600036621093,52.0200004577636,34.6199989318847,167.3000030517576,7.84999990463256,28923.0,1527
1993,3288,504.65,Uganda,UGA,0.189999997615814,0.0599999986588954,0.0700000002980232,0.3199999965727326,0.0099999997764825,5683.0,1781
1993,332,499.06,Belize,BLZ,15.9600000381469,31.9099998474121,20.2099990844726,68.0799989700316,11.2600002288818,39.0,1452
1993,864,493.6,Egypt,EGY,281.75,36.1199989318847,9.85000038146972,327.71999931335444,1.37999999523162,44053.0,2502
1994,1810,759.5,Lebanon,LBN,32.5699996948242,45.599998474121,13.0299997329711,91.1999979019163,3.98000001907348,586.0,1976
1994,1188,708.5999999999999,Greece,GRC,88.2699966430664,32.1399993896484,14.0299997329711,134.43999576568592,1.62000000476837,2978.0,1688
1994,1518,570.4399999999999,Israel,ISR,115.209999084472,50.6899986267089,73.7300033569336,239.6300010681145,5.73999977111816,1178.0,1745
1994,1158,560.5,Ghana,GHA,0.600000023841857,0.439999997615814,0.6700000166893,1.7100000381469709,0.0099999997764825,6776.0,1945
1994,2660,528.11,Portugal,PRT,43.3600006103515,24.7299995422363,15.9200000762939,84.01000022888171,3.25,5334.0,1558
1994,1548,511.08,Italy,ITA,78.9000015258789,52.2299995422363,38.6800003051757,169.8100013732909,7.28999996185302,28827.0,1528
1994,2293,508.86,New Zealand,NZL,5.73000001907348,11.0200004577636,9.23999977111816,25.99000024795524,2.00999999046325,767.0,1305
1994,865,504.56,Egypt,EGY,239.240005493164,34.6199989318847,6.03999996185302,279.90000438690174,1.41999995708465,44542.0,2564
1994,3289,488.69,Uganda,UGA,0.140000000596046,0.0599999986588954,0.0700000002980232,0.2699999995529646,0.0099999997764825,5889.0,1734
1994,3257,477.07,Tunisia,TUN,9.77000045776367,8.10000038146972,0.620000004768371,18.490000844001763,0.189999997615814,1303.0,2041
1995,1811,787.8499999999999,Lebanon,LBN,80.9100036621093,48.5400009155273,12.9399995803833,142.3900041580199,3.95000004768371,589.0,2019
1995,1189,661.37,Greece,GRC,80.6900024414062,34.8400001525878,13.829999923706,129.3600025177,1.71000003814697,2961.0,1632
1995,1519,595.27,Israel,ISR,116.819999694824,51.4000015258789,74.7699966430664,242.9899978637693,5.82000017166137,1280.0,1748
1995,1159,586.06,Ghana,GHA,0.680000007152557,0.52999997138977,0.850000023841857,2.060000002384184,0.0099999997764825,6907.0,1968
1995,2661,543.77,Portugal,PRT,43.099998474121,24.4799995422363,16.5499992370605,84.12999725341781,4.07000017166137,5357.0,1549
1995,866,526.55,Egypt,EGY,295.459991455078,41.1199989318847,6.51999998092651,343.09999036788923,1.3400000333786,44031.0,2607
1995,2294,508.8,New Zealand,NZL,7.6599998474121,11.9300003051757,10.289999961853,29.8800001144408,2.40000009536743,778.0,1292
1995,1549,507.02,Italy,ITA,80.0699996948242,49.599998474121,37.060001373291,166.7299995422362,7.69999980926513,28513.0,1559
1995,3290,500.11,Uganda,UGA,0.109999999403953,0.0299999993294477,0.0399999991059303,0.179999997839331,0.0099999997764825,6080.0,1749
1995,3258,484.29,Tunisia,TUN,8.19999980926513,7.17999982833862,0.409999996423721,15.78999963402747,0.189999997615814,1346.0,2083
1996,1812,806.86,Lebanon,LBN,69.1800003051757,94.3399963378906,12.579999923706,176.0999965667723,3.83999991416931,595.0,2030
1996,1190,665.58,Greece,GRC,87.1999969482421,37.1899986267089,19.2399997711181,143.6299953460691,1.87000000476837,2933.0,1647
1996,1160,640.84,Ghana,GHA,1.47000002861022,0.709999978542327,1.37000000476837,3.5500000119209165,0.319999992847442,7063.0,2041
1996,2720,638.1,Rwanda,RWA,0.100000001490116,0.100000001490116,0.100000001490116,0.3000000044703479,0.219999998807907,3818.0,1619
1996,1520,583.86,Israel,ISR,155.130004882812,45.349998474121,83.5299987792968,284.0100021362298,5.94999980926513,1328.0,1736
1996,867,551.45,Egypt,EGY,315.630004882812,38.3800010681152,10.3900003433227,364.40000629424986,1.41999995708465,44104.0,2635
1996,2662,534.8299999999999,Portugal,PRT,48.349998474121,27.8400001525878,18.3199996948242,94.509998321533,4.55999994277954,5397.0,1537
1996,1550,518.58,Italy,ITA,79.5899963378906,52.2400016784668,37.6199989318847,169.4499969482421,6.78000020980835,28303.0,1580
1996,3259,506.77,Tunisia,TUN,10.5500001907348,8.31999969482421,0.810000002384185,19.6799998879432,0.180000007152557,1361.0,2138
1996,2295,496.19,New Zealand,NZL,6.98000001907348,12.0,10.1000003814697,29.080000400543177,2.1800000667572,774.0,1290
1997,1813,782.51,Lebanon,LBN,68.1399993896484,99.3799972534179,25.7800006866455,193.2999973297118,5.63999986648559,604.0,2034
1997,1161,656.48,Ghana,GHA,1.63999998569488,1.12000000476837,1.25999999046325,4.0199999809265,0.0900000035762786,7291.0,2076
1997,1191,651.71,Greece,GRC,79.0199966430664,33.9799995422363,16.7299995422363,129.729995727539,2.36999988555908,2893.0,1632
1997,2721,612.11,Rwanda,RWA,0.100000001490116,0.189999997615814,0.100000001490116,0.390000000596046,0.239999994635581,3998.0,1563
1997,1521,582.67,Israel,ISR,145.580001831054,54.8899993896484,85.9199981689453,286.3899993896477,5.94999980926513,1379.0,1720
1997,868,555.27,Egypt,EGY,281.980010986328,41.4500007629394,9.01000022888183,332.44001197814924,1.41999995708465,44834.0,2651
1997,1551,510.9,Italy,ITA,77.9100036621093,45.6500015258789,36.6300010681152,160.1900062561034,7.73000001907348,28255.0,1576
1997,2663,507.61,Portugal,PRT,46.7200012207031,25.8700008392334,18.5300006866455,91.120002746582,4.92000007629394,5294.0,1459
1997,1727,490.4,Kuwait,KWT,171.429992675781,0.0,0.0,171.429992675781,2.85999989509582,125.0,1646
1997,3260,489.5,Tunisia,TUN,10.4700002670288,8.14000034332275,1.01999998092651,19.63000059127806,0.180000007152557,1398.0,2133
1998,1814,715.4,Lebanon,LBN,71.7799987792968,98.1600036621093,25.4599990844726,195.4000015258787,5.57000017166137,624.0,2009
1998,1192,652.24,Greece,GRC,75.2200012207031,30.9099998474121,15.4600000381469,121.5900011062621,2.75999999046325,2890.0,1580
1998,1162,649.84,Ghana,GHA,1.27999997138977,0.639999985694885,0.75,2.669999957084655,0.050000000745058,7397.0,2058
1998,2722,631.3199999999999,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.150000005960464,3971.0,1572
1998,1522,584.9,Israel,ISR,145.580001831054,54.8899993896484,88.3099975585937,288.7799987792961,5.94999980926513,1417.0,1712
1998,2664,578.8,Portugal,PRT,52.2299995422363,28.3099994659423,19.9400005340576,100.4799995422362,5.73999977111816,5254.0,1543
1998,869,547.92,Egypt,EGY,311.079986572265,39.4500007629394,8.75,359.2799873352044,1.45000004768371,45401.0,2624
1998,3261,518.7,Tunisia,TUN,12.789999961853,9.0,1.21000003814697,22.999999999999968,0.239999994635581,1432.0,2158
1998,1552,512.81,Italy,ITA,75.870002746582,45.6100006103515,35.4700012207031,156.9500045776366,7.55000019073486,28460.0,1600
1998,1728,510.37,Kuwait,KWT,142.860000610351,0.0,0.0,142.860000610351,4.57000017166137,127.0,1695
1999,1815,720.9100000000001,Lebanon,LBN,83.0199966430664,120.75,36.599998474121,240.3699951171874,6.84999990463256,637.0,1981
1999,1193,709.12,Greece,GRC,75.1900024414062,30.75,15.25,121.1900024414062,2.49000000953674,2904.0,1667
1999,1163,656.15,Ghana,GHA,1.37000000476837,0.720000028610229,0.550000011920929,2.6400000452995283,0.0199999995529651,7483.0,2081
1999,2723,646.15,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.140000000596046,3812.0,1582
1999,1523,605.79,Israel,ISR,105.26000213623,35.8899993896484,71.7699966430664,212.9199981689448,7.11999988555908,1473.0,1691
1999,870,569.13,Egypt,EGY,282.630004882812,43.099998474121,12.9200000762939,338.65000343322686,1.37999999523162,45948.0,2627
1999,2665,548.52,Portugal,PRT,49.4599990844726,28.4400005340576,19.7900009155273,97.6900005340575,6.34999990463256,5208.0,1508
1999,1553,538.8,Italy,ITA,75.9899978637695,45.0,35.2000007629394,156.1899986267089,7.13999986648559,28052.0,1624
1999,3262,522.0,Tunisia,TUN,12.9600000381469,8.57999992370605,0.839999973773956,22.379999935626905,0.239999994635581,1461.0,2136
1999,1729,506.4,Kuwait,KWT,137.5,0.0,0.0,137.5,4.0,144.0,1752
2000,1194,705.4100000000001,Greece,GRC,73.9499969482421,29.3199996948242,15.0500001907348,118.3199968338011,2.75999999046325,2919.0,1673
2000,1816,654.0799999999999,Lebanon,LBN,90.0,68.1500015258789,35.4000015258789,193.5500030517578,6.73000001907348,648.0,1934
2000,2724,650.66,Rwanda,RWA,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.2700000107288358,0.129999995231628,3648.0,1706
2000,1164,643.3199999999999,Ghana,GHA,1.15999996662139,0.449999988079071,0.349999994039535,1.959999948739996,0.0099999997764825,7567.0,2102
2000,1524,580.87,Israel,ISR,115.569999694824,35.3800010681152,70.75,221.7000007629392,8.15999984741211,1487.0,1680
2000,871,579.6,Egypt,EGY,326.170013427734,46.75,9.86999988555908,382.79001331329306,1.5,45486.0,2625
2000,1554,562.59,Italy,ITA,73.3799972534179,44.6699981689453,35.4500007629394,153.4999961853026,7.03999996185302,27593.0,1638
2000,608,529.8000000000001,China,CHN,170.25,66.2099990844726,26.6800003051757,263.1399993896483,9.84000015258789,302427.0,2009
2000,3263,518.46,Tunisia,TUN,12.4399995803833,9.02000045776367,0.839999973773956,22.30000001192093,0.280000001192092,1490.0,2085
2000,2666,518.36,Portugal,PRT,44.5,24.8099994659423,16.9300003051757,86.239999771118,6.09000015258789,5111.0,1497
2001,1195,701.8399999999999,Greece,GRC,67.7600021362304,29.3400001525878,14.8000001907348,111.900002479553,2.77999997138977,2901.0,1682
2001,1165,655.8399999999999,Ghana,GHA,2.27999997138977,1.37999999523162,1.33000004291534,4.99000000953673,0.0099999997764825,7712.0,2182
2001,2725,635.03,Rwanda,RWA,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.2399999946355818,0.0599999986588954,3490.0,1740
2001,1817,625.0699999999999,Lebanon,LBN,112.910003662109,74.2200012207031,35.599998474121,222.7300033569331,6.90000009536743,662.0,1940
2001,1525,599.46,Israel,ISR,106.33999633789,25.1200008392334,78.4000015258789,209.8599987030023,9.26000022888183,1486.0,1746
2001,872,568.44,Egypt,EGY,329.239990234375,46.7999992370605,15.9099998474121,391.9499893188476,1.50999999046325,47573.0,2652
2001,609,541.9399999999999,China,CHN,171.649993896484,68.0299987792968,30.8999996185302,270.579992294311,9.76000022888183,304363.0,2001
2001,2667,528.83,Portugal,PRT,42.7299995422363,25.7199993133544,17.8400001525878,86.28999900817851,6.42999982833862,5107.0,1480
2001,1555,513.27,Italy,ITA,69.4199981689453,33.1899986267089,23.6299991607666,126.2399959564208,6.82000017166137,27344.0,1613
2001,3296,511.89,Uganda,UGA,0.509999990463256,0.129999995231628,0.129999995231628,0.7699999809265119,0.0099999997764825,7028.0,1822
2002,2726,738.49,Rwanda,RWA,0.639999985694885,0.579999983310699,0.569999992847442,1.789999961853026,0.0799999982118606,3445.0,1930
2002,1196,677.3,Greece,GRC,70.7200012207031,31.329999923706,8.42000007629394,110.47000122070304,3.07999992370605,2905.0,1678
2002,1166,664.0899999999999,Ghana,GHA,0.680000007152557,0.0199999995529651,1.76999998092651,2.469999987632032,0.0099999997764825,7820.0,2207
2002,1526,616.8199999999999,Israel,ISR,103.230003356933,26.7900009155273,72.9800033569336,203.0000076293939,10.2200002670288,1530.0,1795
2002,1818,616.78,Lebanon,LBN,73.2300033569336,23.6100006103515,29.5200004577636,126.3600044250487,6.69999980926513,675.0,1894
2002,873,576.91,Egypt,EGY,336.239990234375,40.7700004577636,12.5900001525878,389.5999908447264,1.5,49415.0,2678
2002,610,560.4,China,CHN,190.820007324218,78.0,36.2200012207031,305.0400085449211,10.0,308400.0,1997
2002,2804,546.33,Samoa,WSM,0.0900000035762786,0.0700000002980232,0.0700000002980232,0.230000004172325,0.409999996423721,47.0,1575
2002,3265,511.49,Tunisia,TUN,11.4099998474121,8.35000038146972,1.01999998092651,20.78000020980833,0.239999994635581,1553.0,2028
2002,3297,508.42,Uganda,UGA,0.469999998807907,0.280000001192092,0.219999998807907,0.969999998807906,0.0099999997764825,7027.0,1836
2003,2727,697.4000000000001,Rwanda,RWA,0.649999976158142,0.589999973773956,0.579999983310699,1.819999933242797,0.100000001490116,3406.0,1834
2003,1197,691.72,Greece,GRC,74.0699996948242,28.3500003814697,11.9399995803833,114.3599996566772,2.90000009536743,2914.0,1674
2003,1167,666.11,Ghana,GHA,1.30999994277954,0.430000007152557,2.64000010490417,4.380000054836267,0.0199999995529651,7915.0,2256
2003,1819,612.69,Lebanon,LBN,85.2099990844726,0.0,29.8500003814697,115.0599994659423,6.55999994277954,690.0,1834
2003,1527,580.0799999999999,Israel,ISR,119.519996643066,28.329999923706,77.1399993896484,224.9899959564204,11.6899995803833,1551.0,1725
2003,874,578.75,Egypt,EGY,349.309997558593,42.2099990844726,15.6599998474121,407.1799964904777,1.53999996185302,51576.0,2632
2003,611,560.0500000000001,China,CHN,191.149993896484,73.2200012207031,35.3600006103515,299.7299957275386,10.0500001907348,312770.0,1967
2003,2805,546.3599999999999,Samoa,WSM,0.170000001788139,0.289999991655349,0.11999999731779,0.5799999907612781,0.569999992847442,47.0,1599
2003,2699,544.53,Romania,ROU,25.6200008392334,9.65999984741211,1.52999997138977,36.81000065803528,0.699999988079071,15665.0,1793
2003,3266,534.7,Tunisia,TUN,12.1700000762939,9.13000011444091,1.12000000476837,22.42000019550318,0.259999990463256,1587.0,2075
2004,1198,738.5400000000001,Greece,GRC,59.8400001525878,41.599998474121,21.8799991607666,123.3199977874754,3.07999992370605,2904.0,1729
2004,2728,682.84,Rwanda,RWA,0.519999980926513,0.46000000834465,0.519999980926513,1.499999970197676,0.11999999731779,3401.0,1791
2004,1168,665.09,Ghana,GHA,0.879999995231628,0.560000002384185,6.73999977111816,8.179999768733973,0.0199999995529651,8023.0,2243
2004,1528,626.9000000000001,Israel,ISR,137.710006713867,33.3800010681152,91.1999969482421,262.29000473022427,14.1800003051757,1571.0,1812
2004,1820,609.01,Lebanon,LBN,89.5999984741211,0.0,35.0800018310546,124.6800003051757,6.53000020980835,705.0,1819
2004,875,582.7,Egypt,EGY,394.739990234375,55.2000007629394,11.5,461.4399909973144,1.53999996185302,51941.0,2600
2004,2806,569.8,Samoa,WSM,0.349999994039535,0.349999994039535,0.300000011920928,0.999999999999998,0.730000019073486,48.0,1626
2004,612,569.75,China,CHN,198.110000610351,81.0299987792968,41.2000007629394,320.3400001525872,10.4700002670288,318172.0,1971
2004,1558,568.4000000000001,Italy,ITA,82.2900009155273,30.2000007629394,24.9899997711181,137.4800014495848,7.96000003814697,26127.0,1634
